抓取日期,页码,职位,城市,地区,发布时间,经验,薪水,教育程度,公司名,公司规模,方向1,方向2,公司优势,公司成长或融资,公司特点,职位要求
2017-10-21,1,人工智能分析师,上海,静安区,2017-10-20 09:15:33,1-3年,15k-25k,本科,光大易创网络科技股份有限公司,150-500人,产品/需求/项目类,数据分析,五险一金、年度体检、带薪年假、交通补贴,不需要融资,带薪年假--交通补助--绩效奖金--免费班车,"
1. 负责量化模型的开发，进行资产配置、动态投资组合管理方法研究；2. 负责风险管理、组合业绩归因分析；3. 与公司产品和技术团队密切合作，把多因子策略模型通过互联网技术推送给个人客户；4. 数据挖掘与智能理财算法研究。任职要求：1. 本科及以上学历，金融工程、计量经济学、统计学、数学或计算机类相关专业，具有金融与理工科复合背景优先；2. 具备较为完善的量化投资体系，熟悉各类量化投资策略及理论，具备一定的投资决策能力；3. 具有资产管理或证券、基金公司等金融机构工作经验优先；4. 较强的数据处理及量化模型开发能力，能熟练运用MATLAB、PYTHON等计算机语言编程；5. 热爱金融科技与量化投资行业，勇于接受挑战，心理承受能力强；6. 通过CFA及证券或基金行业从业资格考试优先；7. 工作责任心强，能吃苦耐劳，具有良好的职业操守和团队合作精神。
",3703749,人工智能
2017-10-21,1,人工智能应用工程师,上海,浦东新区,2017-10-19 11:29:28,不限,15k-30k,不限,上海文谷软件有限公司,少于15人,开发/测试/运维类,软件开发,人工智能,不需要融资,,"
工作职责：基于人工智能对图像或其他数据进行处理分析
任职要求： 
1、计算机科学、物理、数学或其他理工科相关专业；
2、熟悉至少一种常用计算机高级编程语言；
3、有扎实的数学、概率与统计学功底；
4、能流畅阅读英语文献资料；
5、较强的自学能力和解决问题的能力；
6、良好的团队意识。
有以下经验优先：
1、   C/C++;
2、机器学习、数据挖掘、深度神经网络;
3、图形图像处理、自然语言处理;
4、数学/工程工具，如：MATLAB、Mathematica、Octave;
5、程序算法的硬件加速优化;
6、高性能计算、分布式计算;

薪资:  15k-40k/月

",3720831,人工智能
