抓取日期,页码,职位,城市,地区,发布时间,经验,薪水,教育程度,公司名,公司规模,方向1,方向2,公司优势,公司成长或融资,公司特点,职位要求
2017-10-21,3,人工智能研发工程师(金融),上海,黄浦区,2017-10-16 16:33:12,1-3年,10k-20k,大专,中诚逸信资产管理（上海）有限公司,50-150人,开发/测试/运维类,后端开发,"五险一金,体检,公司旅游,项目奖金",上市公司,,"


岗位职责:
1. 负责证券投资人工智能领域相关研究与实现
2. 参与使用(自然语言处理/机器学习/深度学习)技术构建金融领域的智能投顾机器人

任职要求:
1 扎实的编程基础，至少精通一种编程语言，如python,java,c/c++等；
2 熟悉自然语言处理相应理论，具备问答系统,对话系统等优先；
3 熟悉常用的机器学习,深度学习,强化学习算法,熟悉Keras,TensorFlow等
4 具备金融数据分析相关经验优先；

",3706316,人工智能
2017-10-21,3,数据产品经理（人工智能方向）,上海,长宁区,2017-10-20 09:26:00,1-3年,12k-20k,本科,携程计算机技术（上海）有限公司,2000人以上,产品/需求/项目类,产品设计/需求分析,奖金丰厚、旅游补贴、弹性工时,上市公司,绩效奖金--股票期权--五险一金--交通补助,"
岗位职责：
1、 与公司业务部门对接，梳理人工智能各类场景。
2、 参与售后智能客服的设计，参与智能客服外围系统的设计。
3、 收集业务部门的反馈数据，发现存在问题、提出解决方案并能迅速推进产品优化。

任职资格：
1、 全日制本科及以上学历，计算机相关专业优先。
2、 两年及以上产品设计经验，有互联网产品经验者优先。
3、 出色的跨团队沟通协调能力，以及良好的组织能力和学习能力。
4、 思路清晰，可与业务和技术团队紧密配合，且高效推动产品生命周期各阶段的执行。

",3633089,人工智能
2017-10-21,3,高级研发工程师-人工智能项目,上海,浦东新区,2017-10-19 20:00:51,3-5年,25k-35k,本科,沪江教育科技（上海）股份有限公司,500-2000人,开发/测试/运维类,后端开发,上市前夜 弹性办公 周末双休,D轮及以上,技能培训--节日礼物--年底双薪--专项奖金,"
工作职责：
- 负责教育业务创新部门 Web 产品和微信小程序产品开发、维护
- 在产品预研、开发、发布、迭代的过程中负责各个关联团队之间的交流与合作，确保合作的畅通与高效，保证项目的顺利进行
- 负责对产品的关键技术指标进行监控，并且能够根据出现的问题提出解决方案
- 能够独立分析、优化 Web／小程序性能，提升产品用户体验
 
工作要求：
- 2 年以上 JavaScript 开发经验，至少精通一种现代前端开发框架（Vue.js、React.js），对 OOP、FP 有一定的认识
- 精通 HTML/XHTML、CSS、JavaScript、AJAX、JSON、XML 等技术，熟悉微信小程序框架，熟悉页面架构和布局
- 熟悉 RESTful、Websocket 等技术，有开放 API 设计经验者优先
- 有 NodeJS 全栈开发能力者优先
- 对人工智能技术了解者优先
- 学习能力强，热爱互联网者优先

",3520694,人工智能
